PIN,Longitude,Latitude,elevation_m
14175797,-72.871979,41.3179,4.611679553985596
14175917,-72.32858,41.300896,2.380181074142456
14176084,-73.52948,41.035132,2.49660062789917
14176144,-73.117375,41.198357,4.35721492767334
14176195,-72.893228,41.266707,3.8998348712921143
14176327,-73.014834,41.2065,4.311795711517334
14176611,-73.569743,41.016039,1.8392274379730225
14176622,-73.216864,41.164448,2.948397159576416
14176681,-72.312685,41.292086,3.52032732963562
14176723,-73.442278,41.065794,4.406010150909424
14176786,-73.250061,41.131996,2.6043319702148438
14176853,-72.961712,41.257834,2.7300631999969482
14177042,-73.405996,41.098465,2.0218420028686523
14177060,-72.648138,41.28555,3.9201271533966064
14177196,-73.548075,41.040263,7.215044021606445
14177219,-72.828524,41.269314,3.1435420513153076
14177766,-73.281977,41.135783,15.500580787658691
14177864,-73.456935,41.056877,2.989959478378296
14177909,-72.367218,41.327275,8.749305725097656
14178121,-72.670447,41.278663,2.5043840408325195
14178127,-72.896282,41.245616,1.7990328073501587
14178157,-71.96738,41.354557,2.11118483543396
14178630,-72.105638,41.32492,13.603825569152832
14178811,-72.875267,41.314064,7.536838054656982
14178850,-72.89416,41.255203,4.72785758972168
14179008,-72.187499,41.356071,7.949653625488281
14179016,-72.05061,41.336473,2.6713199615478516
14179104,-73.271998,41.150917,6.193450927734375
14179129,-72.818132,41.272025,3.847574472427368
14179179,-72.872075,41.268731,3.3670060634613037
14179242,-72.323774,41.334195,7.036628723144531
14179298,-71.836074,41.37647,6.4760870933532715
14179359,-72.949922,41.28637,7.532147407531738
14179448,-73.445458,41.073643,6.919353485107422
14179527,-72.907683,41.317913,6.100554943084717
14179737,-72.935939,41.288903,4.409748077392578
14179827,-71.967051,41.325678,8.881950378417969
14179993,-72.211696,41.296654,13.136216163635254
14180110,-73.132753,41.181588,3.082834482192993
14180223,-73.493963,41.05677,4.062481880187988
14180318,-73.438384,41.064382,7.149594306945801
14180404,-73.315773,41.122544,3.712871789932251
14180532,-73.057665,41.208289,4.050511360168457
14180742,-72.062101,41.322773,4.882450103759766
14180759,-71.945278,41.352695,11.804330825805664
14181047,-73.135499,41.177572,2.973196268081665
14181225,-72.593961,41.27046,2.705799102783203
14181367,-72.86317,41.245958,1.8489351272583008
14181409,-72.233032,41.307562,22.634916305541992
14181464,-72.060734,41.321391,5.3282036781311035
14181706,-73.415707,41.082728,2.1368322372436523
14181892,-73.144775,41.176576,1.7686450481414795
14181969,-73.269506,41.130261,10.322836875915527
14182074,-73.52336,41.041733,3.1597769260406494
14182218,-72.209538,41.309925,7.96566915512085
14182263,-73.090373,41.187711,3.048241376876831
14182308,-72.417918,41.283119,2.141944646835327
14182367,-72.586304,41.284971,9.851799964904785
14182383,-73.228452,41.155111,4.266312599182129
14182489,-72.058851,41.323333,9.16457462310791
14182595,-72.813845,41.278056,11.249114990234375
14182745,-73.0216,41.211796,3.144625663757324
14183129,-73.194383,41.165519,5.394628047943115
14183164,-72.996856,41.229532,5.656358242034912
14183188,-73.247378,41.145756,5.894872188568115
14183299,-72.892774,41.247084,3.53155779838562
14183378,-73.22953,41.156416,5.562744617462158
14183422,-73.055183,41.210686,5.628328800201416
14183484,-72.385029,41.263045,4.928346157073975
14183551,-72.226769,41.300477,3.4942026138305664
14183587,-72.894005,41.262323,3.8654301166534424
14183689,-72.112812,41.318628,29.39892578125
14183846,-72.951362,41.257162,2.904982328414917
14184017,-72.875484,41.314029,7.394178867340088
14184066,-72.811746,41.283292,6.195827007293701
14184542,-72.848287,41.258202,6.732142448425293
14184602,-72.39092,41.284126,3.6919353008270264
14184607,-72.434244,41.280389,6.882871627807617
14184991,-73.442347,41.069495,6.730622291564941
14185209,-72.215128,41.318666,6.772678852081299
14185232,-72.55266,41.278085,5.2409348487854
14185278,-73.402153,41.09336,2.8210792541503906
14185343,-73.40168,41.097776,5.269862651824951
14185489,-73.176574,41.180808,3.1113362312316895
14185546,-73.188412,41.167758,2.4120469093322754
14185892,-72.137415,41.340999,4.200181007385254
14186033,-72.891003,41.306377,2.8762757778167725
14186034,-73.381872,41.103572,4.5441460609436035
14186065,-72.894825,41.25288,4.588706016540527
14186074,-73.561988,41.019663,4.545026779174805
14186455,-73.242394,41.137224,1.4507629871368408
14186457,-72.892278,41.25872,1.469254970550537
14186478,-72.47967,41.275017,3.455923557281494
14186543,-71.850638,41.358106,23.00558090209961
14186817,-72.944815,41.273328,4.950450420379639
14186922,-72.369235,41.300387,6.789187908172607
14186940,-73.135291,41.175462,2.5239081382751465
14187194,-72.101522,41.350177,2.394961357116699
14187264,-72.848763,41.258034,3.0572376251220703
14187389,-72.289862,41.287528,2.6742146015167236
14187466,-72.807253,41.257993,6.508453845977783
14187509,-72.091548,41.327124,5.707720756530762
14187627,-72.579645,41.281471,11.395584106445312
14187784,-72.326658,41.314408,3.478550910949707
14187819,-72.001683,41.331361,9.103718757629395
14187857,-73.080107,41.197495,2.6557586193084717
14187911,-71.843859,41.35824,8.583991050720215
14188068,-73.222356,41.163951,9.329503059387207
14188127,-73.13994,41.174483,1.9956756830215454
